# Tidepool donor-population CIR (Carb Ratio / Insulin-to-Carb Ratio) distribution by age.
# Sources:
#   - n_donors: same donor cohort as isf_distribution_by_age.csv (same age table).
#   - cir_p10 / cir_q1 / cir_median / cir_q3 / cir_p90: APPROXIMATE — read off the
#     box-plot figure ("Insulin To Carb Ratio"), rounded to nearest 1 g/U.
#     Replace with exact percentiles if/when source data is available.
# Units: CIR in g per U.
age_group,n_donors,cir_p10,cir_q1,cir_median,cir_q3,cir_p90
1-5,31,8,15,18,23,30
6-8,67,10,15,20,25,30
9-11,90,8,12,15,22,30
12-14,89,7,10,11,15,20
15-17,57,6,8,10,12,15
18-20,32,6,8,11,14,18
21-24,43,5,8,9,11,13
25-29,69,6,8,10,12,15
30-34,94,6,8,10,12,16
35-39,63,6,8,10,13,17
40-49,122,6,8,10,12,15
50-59,85,6,8,10,12,15
60-69,59,7,8,10,13,15
70-85,22,6,10,12,23,32
